,teus,num_vessels,num_carriers,num_alliances,num_alliance_vessels,num_foreign_ports,num_foreign_countries,num_foreign_regions,hhi_lane,hhi_directsub_lanes,hhi_potentialsub_lanes,hhi_origin_port,hhi_dest_port,hhi_directsub_origin_ports,hhi_potentialsub_origin_ports,hhi_directsub_dest_ports,hhi_potentialsub_dest_ports,hhi_alliance_lane,hhi_alliance_directsub_lanes,hhi_alliance_potentialsub_lanes,hhi_alliance_origin_port,hhi_alliance_dest_port,hhi_alliance_directsub_origin_ports,hhi_alliance_potentialsub_origin_ports,hhi_alliance_directsub_dest_ports,hhi_alliance_potentialsub_dest_ports,lane_capacity,dist,rate_40,rate_20,date,year
count,97065.0,97065.0,97065.0,97065.0,97065.0,97065.0,97065.0,97065.0,97065.0,61542.0,96355.0,97065.0,97065.0,56859.0,96824.0,71350.0,97065.0,97065.0,61542.0,96355.0,97065.0,97065.0,56859.0,96824.0,71350.0,97065.0,97065.0,97065.0,49738.0,49738.0,97065,97065.0
mean,1477.836508633762,13.233122134652037,6.733333333333333,2.8739710503271003,4.140689228867254,36.0011641683408,22.334549013547623,7.068459279864008,4495.282390393431,1553.1685019216545,944.486678205524,1809.2070764760517,3108.00275831004,1019.7391933129809,493.1667148006672,1788.7487650479118,943.4851735573884,5270.857912202369,2538.3435306485358,1732.3560853504391,2589.8496430185082,3898.1682860194546,1558.0161416605554,1054.2800469847502,2740.4991950360713,1737.156676805763,38759.50742133784,1314.2522505282875,1603.6742530861716,1237.0571796212153,2015-07-11 16:49:01.863699712,2015.0676866017618
min,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,638.0609243764454,0.0,0.0,497.59899693375576,637.1166211428509,0.0,0.0,0.0,0.0,934.0346020761181,0.0,0.0,642.6457591704859,977.3401074176185,0.0,0.0,0.0,0.0,7.205882352941177,5.930140467079138,400.0,310.0,2007-01-01 00:00:00,2007.0
25%,367.0,6.0,3.0,2.0,1.0,27.0,15.0,4.0,2323.7626490879306,221.21834809767068,251.9940325569367,839.418369181983,1462.5441384806404,162.81738713397715,224.0359473136254,601.966119095262,496.6231474466306,3159.850062473949,668.1192206421637,574.9975527433152,1431.477771004238,2260.604107787683,212.89930855772656,381.28654805196913,1304.3444309131094,894.4254663322654,12329.020764079585,552.7982066277557,1050.0,840.0,2011-05-01 00:00:00,2011.0
50%,816.6215767599564,12.0,6.0,3.0,3.0,39.0,20.0,7.0,3518.518518518535,876.7743282088085,651.2504428893525,1088.3568734356045,2202.471682441728,715.2580566831004,420.67450325112196,1088.3303669720033,803.1627255399168,4497.300131481951,2106.426368762882,1446.1321006180835,2063.520667103179,3239.8945810644345,1324.7757527422984,911.8872216973772,2369.7362938588594,1584.8397000341806,29840.58823529412,1231.4378816316362,1490.0,1170.0,2015-08-01 00:00:00,2015.0
75%,1697.2156429170864,18.0,9.0,4.0,6.0,46.0,30.0,11.0,5982.468955441944,2060.8295563204347,1154.6427756342305,1566.785914573523,3770.378107489958,1145.7637498810711,668.0007389452915,2163.589496013811,1184.228659736631,7155.563423197573,3775.5040163788553,2611.9934019101884,2822.323178020782,4783.484865520397,2194.7004570349436,1418.930327536829,3647.348861171222,2551.077372729631,55931.37254901961,1780.9365867325187,1980.0,1480.0,2019-10-01 00:00:00,2019.0
max,48794.36853791148,72.0,23.0,7.0,37.0,65.0,44.0,11.0,10000.0,10000.000000008975,10000.000000000167,10000.0,10000.0,10000.000000013339,3117.2771099914826,10000.000000016631,9279.33181341849,10000.0,10000.000000008975,10000.000000000167,10000.0,10000.0,10000.000000013339,4139.874544908014,10000.000000016631,9282.586255690965,282385.4986731536,6620.5043911831035,8250.0,5070.0,2023-12-01 00:00:00,2023.0
std,2416.308638743121,8.968437903793449,4.170767563499331,1.2185772179854442,3.940149092237695,16.896547349521875,11.606936713351535,3.531230378220202,2801.173542156038,1996.2637040270872,1124.2236945992013,2071.658486963111,2401.410075630471,1599.982929686555,366.20703738256896,2118.346657639114,812.3663126288627,2640.0825303501883,2289.723971996744,1508.7448437579405,1971.5632379961576,2276.1538192621015,1764.8625525044572,834.6505135978176,2236.9768922008807,1183.6474218197359,34284.43625524916,1003.7869777350771,760.7975899292265,528.1562372872314,,4.862047816890848
