,date,year,alliance_operated,num_foreign_ports,num_foreign_countries,num_foreign_regions,cap_from_vessel,turns,vessel_capacity,teus,active_lt,active_vlt
count,1038069,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0,1038069.0
mean,2016-05-28 17:58:59.012147712,2015.9478801505488,0.4089496940954792,6.394390931624006,4.419943182967606,1.976265546895245,3293.109372632695,1.072552017255115,3051.367293408707,64.60741873669416,0.5955384468662488,0.4089496940954792
min,2007-01-01 00:00:00,2007.0,0.0,1.0,1.0,1.0,0.14705882352941177,1.0,0.14705882352941177,0.18,0.0,0.0
25%,2013-03-01 00:00:00,2013.0,0.0,3.0,2.0,1.0,2024.264705882353,1.0,1978.9705882352941,7.0,0.0,0.0
50%,2016-09-01 00:00:00,2016.0,0.0,5.0,4.0,2.0,2974.4117647058824,1.0,2921.470588235294,22.0,1.0,0.0
75%,2019-12-01 00:00:00,2019.0,1.0,8.0,6.0,2.0,4102.132352941177,1.0,4072.6470588235297,66.0,1.0,1.0
max,2023-12-01 00:00:00,2023.0,1.0,33.0,23.0,10.0,24982.352941176472,14.0,8555.588235294117,9624.960000000003,1.0,1.0
std,,4.463092018848511,0.49164018818701,4.372489900489612,2.6417898397535104,1.026346383102341,1756.3195304668536,0.29962358003285244,1261.1534226167832,138.50237457920187,0.4907877720660166,0.49164018818701
